Threshold,SelfHalluCatcher Precision,SelfHalluCatcher Recall,SelfHalluCatcher F1,Selfcheck Precision,Selfcheck Recall,Selfcheck F1
0.0,0.4186046511627907,1.0,0.5901639344262295,0.4186046511627907,1.0,0.5901639344262295
0.01,0.43889618922470436,0.9766081871345029,0.6056210335448776,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.02,0.43889618922470436,0.9766081871345029,0.6056210335448776,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.03,0.43889618922470436,0.9766081871345029,0.6056210335448776,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.04,0.43889618922470436,0.9766081871345029,0.6056210335448776,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.05,0.43889618922470436,0.9766081871345029,0.6056210335448776,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.06,0.44248985115020295,0.956140350877193,0.6049953746530989,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.07,0.44248985115020295,0.956140350877193,0.6049953746530989,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.08,0.44248985115020295,0.956140350877193,0.6049953746530989,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.09,0.44248985115020295,0.956140350877193,0.6049953746530989,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.1,0.44248985115020295,0.956140350877193,0.6049953746530989,0.5348837209302325,0.47076023391812866,0.5007776049766719
0.11,0.44542772861356933,0.8830409356725146,0.592156862745098,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.12,0.44542772861356933,0.8830409356725146,0.592156862745098,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.13,0.44542772861356933,0.8830409356725146,0.592156862745098,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.14,0.44542772861356933,0.8830409356725146,0.592156862745098,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.15,0.44542772861356933,0.8830409356725146,0.592156862745098,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.16,0.445468509984639,0.847953216374269,0.5840886203423967,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.17,0.445468509984639,0.847953216374269,0.5840886203423967,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.18,0.445468509984639,0.847953216374269,0.5840886203423967,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.19,0.445468509984639,0.847953216374269,0.5840886203423967,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.2,0.445468509984639,0.847953216374269,0.5840886203423967,0.5874439461883408,0.3830409356725146,0.46371681415929206
0.21,0.46113989637305697,0.7807017543859649,0.5798045602605864,0.5963855421686747,0.2894736842105263,0.38976377952755903
0.22,0.46113989637305697,0.7807017543859649,0.5798045602605864,0.5963855421686747,0.2894736842105263,0.38976377952755903
